n_neighbour,cluster_type,cluster_size,sample_name
48,kmeans,2,clone_rm
49,kmeans,2,clone_rm
50,kmeans,2,clone_rm
51,kmeans,2,clone_rm
52,kmeans,2,clone_rm
53,kmeans,2,clone_rm
54,kmeans,2,clone_rm
55,kmeans,2,clone_rm
56,kmeans,2,clone_rm
57,kmeans,2,clone_rm
58,kmeans,2,clone_rm
59,kmeans,2,clone_rm
60,kmeans,2,clone_rm
61,kmeans,2,clone_rm
62,kmeans,2,clone_rm
63,kmeans,2,clone_rm
64,kmeans,2,clone_rm
65,kmeans,2,clone_rm
66,kmeans,2,clone_rm
