C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-3.583702179943373,-3.5418669319639315,-4.059131745934368,-3.8898046075921164,-3.3866058075005294,-2.8622233886168083,-3.228517747113234,-3.2795301635618137,-3.3551522214752154,-3.3399244614925805,-3.241560305718993,-3.554019442124039,-3.521133269004826,-3.593147625680512,-3.741116421587838,-3.441730468548486,-3.667531355738845,-3.1187383197565772,-3.5582205748435065,-3.7955978151633674,73
-3.5631728479830556,-3.441808234600923,-4.178349469951225,-3.786806680556306,-3.3685688626249446,-2.872681602445702,-3.204664314447304,-3.285114680357914,-3.365817801419773,-3.343802459260378,-3.2527710317097145,-3.57660453943609,-3.54063543776341,-3.570421019445977,-3.7363785558353317,-3.4497887002051724,-3.682291468968648,-3.1291329627944164,-3.570099940166321,-3.810276560690369,74
-3.5438753504009393,-3.33738233469891,-4.294374201089679,-3.6784665862063863,-3.349637012517918,-2.8841320722864126,-3.182084528369497,-3.2913646839930024,-3.3780231477391087,-3.348520106701074,-3.265201742016552,-3.6003914290548136,-3.5608276759469573,-3.550686794470469,-3.7321905500001895,-3.4590357855144913,-3.698685685485086,-3.1407221254719766,-3.584170924000101,-3.8255968693947997,75
-3.525846130750262,-3.2333448247686,-4.399275166087713,-3.569682047304677,-3.3306835507162087,-2.8965329655057497,-3.1610048866371545,-3.298380305359246,-3.391887197112503,-3.354105304145973,-3.278792407948433,-3.6247013319699617,-3.5812525257617205,-3.5334262867700095,-3.729132538622159,-3.4695009295161134,-3.716296248639707,-3.153267728844268,-3.5997447748315308,-3.842202558204311,76
-3.509121632584261,-3.1344512973207013,-4.485121591683308,-3.4653507866134996,-3.3125817707565752,-2.9098424494705215,-3.1416518870076175,-3.3062616753488077,-3.407528886219236,-3.3605859519263785,-3.2934830008142852,-3.648855469171286,-3.60145252941395,-3.5181208323606175,-3.727784656240989,-3.4812133372497067,-3.7347054017840593,-3.1665316939663004,-3.6161327411472914,-3.860737444046553,77
-3.49373829945617,-3.0454573448659192,-4.54398270461445,-3.370370526895172,-3.2962049661757753,-2.924018691547537,-3.124252027238227,-3.315108924853852,-3.42506715173859,-3.367989950373595,-3.3092134919230354,-3.6721750616485402,-3.620970229109898,-3.504251767258312,-3.7287270373964256,-3.49420221375494,-3.7534953882696893,-3.1802759418930844,-3.632646071434067,-3.8818453438491765,78
-3.47973257491923,-2.9711185599149625,-4.56792773161912,-3.2896389909120143,-3.2824264305105677,-2.9390198591036047,-3.1090318050863255,-3.3250221847665444,-3.4446209303498456,-3.376345199818925,-3.32592385258361,-3.6939813303914755,-3.6393481670558145,-3.4913004274791133,-3.732539816628219,-3.508496764071483,-3.7722484514481462,-3.19426239367963,-3.6485960141785405,-3.9061700745398316,79
-3.4671409025266735,-2.9161905349785373,-4.5490258994353034,-3.2280539014263456,-3.272119457297711,-2.9548041195055332,-3.0962177183092536,-3.33610158597905,-3.4663091587322823,-3.3856796005936722,-3.3435540541049376,-3.7135954963898445,-3.656128885457953,-3.4787481490390415,-3.7398031284761157,-3.5241261932390042,-3.7905468346709768,-3.208252970380948,-3.6632938178673937,-3.9343554530461704,80
-3.457363718140748,-2.8793356762909696,-4.468443140823409,-3.183247067008934,-3.26435164805243,-2.973295970037204,-3.0859592672372957,-3.3500167371654115,-3.4931470630713606,-3.3967674831670265,-3.364166799177594,-3.732888570733481,-3.671406165259735,-3.4670829925226316,-3.7523979150169344,-3.543373767863051,-3.8111598874276864,-3.223550614029764,-3.678683975262062,-3.970153972762329,81
-3.451141248370456,-2.8548791506380056,-4.323940590699839,-3.1488237058529895,-3.257699365874695,-2.9956079578463055,-3.0781046210463296,-3.3675913592563704,-3.52668642728419,-3.4100100974560728,-3.3889702857167148,-3.7536039230014366,-3.6857065076602833,-3.457113976460237,-3.770767523066947,-3.5674776826833408,-3.8360593663293576,-3.241126077994619,-3.696561020947523,-4.014982690241559,82
-3.4475196228891676,-2.841070691357477,-4.132480279036538,-3.123641655154484,-3.2522990466783774,-3.020480325095357,-3.072428280762086,-3.387656751529141,-3.5648510246475333,-3.4248757229639617,-3.4166227278680683,-3.7748713119172947,-3.699221535249398,-3.448803873786599,-3.79333569427508,-3.594899534940808,-3.863631125409906,-3.2602430003342455,-3.7160112661457743,-4.065982267150187,83
-3.4455449713702557,-2.8361600317872204,-3.911024235805473,-3.106558752109398,-3.2482871263773507,-3.046653313946876,-3.0687047474103,-3.409044213260936,-3.6055646284381493,-3.4408326391938444,-3.4457823397774225,-3.795820496204638,-3.712142870616881,-3.4421154574364614,-3.8185261702902635,-3.624100921876382,-3.892261018703246,-3.280165019107376,-3.7361210220788137,-4.120293365154539,84
-3.4442634234870915,-2.8383969052650673,-3.676534490978597,-3.0964328339137066,-3.2458000408854866,-3.0728671665633813,-3.066708522016701,-3.4305850437289664,-3.6467510119327993,-3.4573491256488675,-3.4751073355905424,-3.815581234587047,-3.7246621363525314,-3.437011500344565,-3.844762692761423,-3.6535434407309935,-3.9203349002432906,-3.300155772372743,-3.755976599968638,-4.175056645920937,85
-3.4427211089130467,-2.8460310451288526,-3.445973074527863,-3.092121737763387,-3.2449742261166574,-3.0978621251073912,-3.0662141056070227,-3.4511105422104484,-3.6863339484082442,-3.473893461832184,-3.5032559294531973,-3.8332832857881054,-3.736970955046151,-3.433454775445654,-3.870469003337489,-3.681688688745575,-3.946238624063956,-3.3194788981890797,-3.7746643110372458,-4.22741277111571,86
-3.4399641573214916,-2.8573121847164096,-3.2363020164252387,-3.0924833008544153,-3.2459461179847358,-3.1203784317414245,-3.066995999206996,-3.4694520079825932,-3.7222372111412416,-3.489933927246941,-3.528886335511153,-3.8480564085313937,-3.749260949287539,-3.43140805567447,-3.8940688436673856,-3.706998263161056,-3.9683580441991553,-3.3373980346151164,-3.7912704665066332,-4.27450240240518,87
-3.4350386983857994,-2.8704900573655743,-3.064483346642666,-3.09637536038277,-3.2488521524035945,-3.139156328628,-3.0688287038423545,-3.4844407403226145,-3.7523845734085572,-3.504938801396291,-3.55065676791018,-3.8590303615404977,-3.7617237416664984,-3.430834113965757,-3.913985955400045,-3.7279337612183694,-3.9850790146828055,-3.353176819709588,-3.8048813775988,-4.313466201455677,88
-3.4269908617793416,-2.883814396414178,-2.947479095152112,-3.1026557535444264,-3.253828765287106,-3.152936057929636,-3.0714867205388297,-3.4949080385077256,-3.7746998084869476,-3.518376363783383,-3.567225440796042,-3.8653349035389963,-3.7745509547728266,-3.4316957232542564,-3.9286440801843927,-3.7429567801584445,-3.994787389548819,-3.366078891531226,-3.8145833555357425,-4.341444829933522,89
-3.4148667771754893,-2.895534935200056,-2.9022512919255297,-3.1101823175353607,-3.2610123925491417,-3.160457861808851,-3.0747445503221535,-3.4996852018151383,-3.787106689653174,-3.5297148939113656,-3.577250568314508,-3.8660997932504735,-3.787934211196327,-3.433955656474711,-3.936466959669357,-3.750528917222214,-3.9958690228311116,-3.375367888138763,-3.819462711539458,-4.355578949505041,90
-3.398369415616268,-2.9079059853743816,-2.9430265198075825,-3.1206265913227846,-3.2707006759266433,-3.159386726598596,-3.0777414524586164,-3.4958899870695554,-3.7878823297794035,-3.5391537115058838,-3.579193269082281,-3.8524513005921603,-3.8000568363241434,-3.4360684520406406,-3.9289642069956607,-3.748219117744864,-3.9855783770072777,-3.379936641184356,-3.8168708920462042,-4.346167895753425,91
-3.3783229598711593,-2.923995033652274,-3.0601181826299393,-3.1361016727963573,-3.2829174828442653,-3.1497318380190102,-3.0802330884398423,-3.4831331339972196,-3.7782226933594587,-3.547354963596435,-3.5735900906241413,-3.8203620479528806,-3.8097108467597107,-3.437214126027231,-3.9030535788648177,-3.7362721764405338,-3.964064082603774,-3.3799336917471847,-3.8062840075125703,-4.3107876504227765,92
-3.355455357204716,-2.943271575967488,-3.234618541845079,-3.1561277375357286,-3.297388587747452,-3.1337497373133933,-3.082918562629565,-3.4639854162276555,-3.7604298311025817,-3.554481170641952,-3.5622123904479697,-3.7762313227635973,-3.818000901917266,-3.4384436678617214,-3.8652710322669406,-3.7171634646185807,-3.9340532457278052,-3.376506242026515,-3.7899753651910535,-4.257493844420786,93
-3.3304945548814944,-2.96520510825378,-3.447619858905466,-3.1802249611205506,-3.313839765081647,-3.1136969657250457,-3.0864969793915176,-3.4410176073903895,-3.73680579371802,-3.560694853101368,-3.546831526061652,-3.72645841245528,-3.8260316612110454,-3.440808066971355,-3.8221525241921457,-3.693368353588363,-3.898272972486581,-3.370801494221614,-3.7702182723341506,-4.194342108655148,94
-3.3041685001660475,-2.9892651264449026,-3.6802143952635724,-3.2079135191304715,-3.3319967892922935,-3.0918300644972674,-3.0916674430894324,-3.416800481114944,-3.7096526319150156,-3.5661585314336133,-3.5292188549730685,-3.677442604458892,-3.8349077840552854,-3.445358312783372,-3.780234011630543,-3.667362214659238,-3.8594503689873045,-3.363966650531746,-3.7492860361943574,-4.129388074033552,95
-3.277205140322928,-3.0149211264746114,-3.9134944123718745,-3.238713587145144,-3.351585434824835,-3.070405574873358,-3.099129058087042,-3.393904811030846,-3.6812723964028136,-3.5710347260976203,-3.511145734690103,-3.635583186205399,-3.845733929864223,-3.453145394725013,-3.746051451572248,-3.6416204191405637,-3.8203125413371826,-3.3571489131561774,-3.7294519640241712,-4.070687371463693,96
-3.250332422616693,-3.0416426042766602,-4.128552171682832,-3.2721453407442147,-3.3723314761247147,-3.0516800380966176,-3.10958092874808,-3.3749013707676205,-3.653967137890659,-3.5754859575523206,-3.4943835227206392,-3.6072794451257693,-3.8596147580520923,-3.465220302223518,-3.7261408010073747,-3.618618338341698,-3.783586595643423,-3.3514954842941753,-3.7129893630760886,-4.026295631853265,97
-3.224278294311894,-3.0688990557848053,-4.306479934648931,-3.3077289555073386,-3.393960687637378,-3.0379099954103466,-3.1237221594362805,-3.3623609339547915,-3.6300389070877954,-3.579674746256648,-3.480703576572559,-3.5989306686509677,-3.877654928033134,-3.4826340247061305,-3.7270380169260364,-3.6008313435719983,-3.751999638013231,-3.348153566145006,-3.702171540602607,-4.0042684861099564,98
-3.199770702673086,-3.0961599769328,-4.428369962722631,-3.3449846070141627,-3.4161988438082664,-3.0313519880578457,-3.1422518545153744,-3.3588542742218848,-3.6117897547034676,-3.5837636126695327,-3.4718772537537466,-3.6169361442119596,-3.9009590992215815,-3.50643755160009,-3.7552790563183467,-3.5907348061408233,-3.728278774553814,-3.3482703609079345,-3.6992718038562216,-4.012661565141463,99
-3.1775375949648232,-3.1228948636543987,-4.475314517356409,-3.3834324708443395,-3.438771719082825,-3.034262557282413,-3.1658691183490957,-3.366952165198424,-3.60152173144692,-3.5879150772499075,-3.469675911772083,-3.6676951592397113,-3.9306319310316713,-3.5376818723326373,-3.8173998761744183,-3.5908040973575295,-3.7151511113723767,-3.352993070782227,-3.7065634600894293,-4.059530499855475,100
-3.157106145916969,-3.1503087946739217,-4.441004800883321,-3.426141232497783,-3.462432602886209,-3.046961094880667,-3.198029483835413,-3.3874796358954193,-3.592716999508905,-3.5914038655975093,-3.4706636843825946,-3.755714794345957,-3.9612655106140036,-3.582454208700624,-3.92614681398232,-3.5996614163399987,-3.706978574794342,-3.36183893680807,-3.716004051380506,-4.160331249633536,101
-3.1374587665495386,-3.1796214105365412,-4.341543950871021,-3.475313312947403,-3.487884371400084,-3.0672849238947126,-3.2399276943552526,-3.418229048295775,-3.5793672260376637,-3.593658507754781,-3.471094793663231,-3.8768626851273273,-3.98870986921526,-3.643046435629608,-4.081823138875308,-3.613974266425498,-3.6978007916300615,-3.3733500683937354,-3.720768041733312,-4.31529647096853,102
-3.1185062585623156,-3.210324049907291,-4.191642131623875,-3.529169490982337,-3.5147771792046525,-3.093767482436082,-3.288871669996783,-3.45722217548686,-3.5645387191786675,-3.5950722308447127,-3.4722757296062623,-4.024578951492126,-4.0159565823937955,-3.7148165222398846,-4.272300205311267,-3.6332859752524627,-3.6898614187141408,-3.3872109702906177,-3.72495412128872,-4.509646840435148,103
-3.100159423655085,-3.2419080514512073,-4.006009507446253,-3.5859305453917254,-3.5427611808801207,-3.124942208616311,-3.3421693308481744,-3.502480790556044,-3.5512977870773907,-3.5960382619902966,-3.4755129822039614,-4.19230371334866,-4.045997225707971,-3.793122437651755,-4.485449367748092,-3.6571398704593294,-3.685404112881185,-3.403106147250112,-3.7326609801876054,-4.728603034608091,104
