C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-3.9452942826351203,-4.568939094157349,-4.430675767455905,-3.688830470364353,-5.237892558805372,-5.156630562015856,-4.55596135323405,-5.197499359044738,-3.693382134525592,-4.593308926018355,-3.639946615863355,-3.7682418045355623,-5.079777218584429,-5.421770197078587,-5.141339047272391,-4.992162030973917,-3.5889586555233697,-5.1574978716436695,36
-3.9248944549530713,-4.218768353749381,-4.1862191096026695,-3.6711049462072496,-5.561901541680765,-5.444280639740932,-4.17250558474373,-5.494216939294734,-3.6623006842085997,-4.239002460662057,-3.602319005446172,-3.7380076639564725,-5.356107670290574,-5.716639396373016,-5.421277853188832,-5.247177327401987,-3.5882575927614204,-5.423091790754027,37
-3.9080945968619725,-3.9303924498839957,-3.9849018619588286,-3.656507455724929,-5.828732468754618,-5.681168939043936,-3.856718481281113,-5.73857259361826,-3.6367041957122526,-3.9472206656627526,-3.571331561573198,-3.7131089599501634,-5.583673924636812,-5.959472854615488,-5.651815693355314,-5.457189924460398,-3.5876802469574622,-5.641816194727261,38
-3.8966946931572974,-3.7347088008324842,-3.84829372962908,-3.6466020157547825,-6.009796312126159,-5.841914570713831,-3.6424343753600517,-5.90438535905208,-3.6193351499468744,-3.7492258761989388,-3.550304367516536,-3.6962134108030247,-5.738093882943186,-6.12425270128002,-5.8082520848968535,-5.599698472464318,-3.5872884765904898,-5.790236325994813,39
-3.8924947286345226,-3.662614824866138,-3.7979644177181195,-3.642952643134202,-6.076504043894622,-5.901136645539582,-3.563487599494398,-5.965474272632961,-3.6129360278227876,-3.676280427449113,-3.5425575065482926,-3.6899887348014473,-5.794985446529745,-6.184961065840637,-5.865886544938473,-5.652201621728921,-3.5871441401395003,-5.844917426988121,40
-3.9047759657677195,-3.7308409370531406,-3.8469267139026626,-3.643415602362643,-6.086789943340232,-5.836822925671623,-3.6333967782227523,-5.900746280019043,-3.6813996031505014,-3.6760488324322327,-3.5456529321458934,-3.7569061565258823,-5.798971178324207,-6.115912089829959,-5.867744373120076,-5.5944125418505415,-3.5816334459313914,-5.788717787042006,41
-3.9381107522721113,-3.9160260987035764,-3.979824374974995,-3.6446722059826966,-6.1147088132640315,-5.662257114601446,-3.8231502633425727,-5.725056014352691,-3.8672293076114403,-3.6754202173864132,-3.554054801625096,-3.9385391583493505,-5.809789593194888,-5.928493440658116,-5.872787049613,-5.4375564678949395,-3.5666758473665254,-5.636175907188263,42
-3.9872357008048995,-4.188930547451588,-4.175673559713169,-3.64652404289646,-6.155852411046473,-5.405002235129608,-4.102786978255993,-5.466144043897016,-4.141083608922298,-3.6744938373188902,-3.5664365040154995,-4.206208845247094,-5.825732520372735,-5.652297536615399,-5.880218362339415,-5.20640014838142,-3.544633070534091,-5.411377347403801,43
-4.046887424023286,-4.520314520931315,-4.413490426895236,-3.648772702006031,-6.2058124940680095,-5.092621310056663,-4.442345846365143,-5.1517509369151275,-4.473620974799767,-3.6733689472368987,-3.5814714283467044,-4.531236322194351,-5.845091789088691,-5.316916795992103,-5.88924209922149,-4.925710331829293,-3.5178668415232783,-5.138407667665527,44
-4.111802534584469,-4.880938256776898,-4.6722911352992496,-3.651219772213504,-6.260180819709092,-4.752677362183165,-4.811865791072159,-4.80961726167013,-4.835499872960541,-3.672144802147672,-3.597832963648309,-4.884942694166365,-5.866159228573704,-4.951943637078517,-5.899062048181395,-4.620253766757861,-3.488738886423276,-4.841352427950346,45
-4.176717645145653,-5.241561992622482,-4.931091843703263,-3.6536668424209777,-6.314549145350175,-4.412733414309667,-5.181385735779175,-4.467483586425134,-5.197378771121315,-3.670920657058446,-3.614194498949914,-5.238649066138379,-5.887226668058714,-4.586970478164931,-5.9088819971413,-4.314797201686429,-3.4596109313232737,-4.544297188235166,46
-4.236369368364039,-5.5729459661022105,-5.168908710885331,-3.655915501530548,-6.364509228371711,-4.10035248923672,-5.520944603888327,-4.153090479443242,-5.529916136998785,-3.669795766976454,-3.629229423281119,-5.563676543085639,-5.906585936774672,-4.251589737541632,-5.917905734023375,-4.034107385134298,-3.432844702312461,-4.27132750849689,47
-4.285494316896827,-5.845850414850222,-5.364757895623505,-3.657767338444311,-6.405652826154151,-3.843097609764881,-5.800581318801747,-3.8941785089875665,-5.803770438309643,-3.6688693869089315,-3.6416111256715222,-5.831346229983381,-5.922528863952518,-3.9753938334989156,-5.925337046749789,-3.80295106562078,-3.410801925480026,-4.046528948712428,48
