C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-3.797128215461262,-4.499730587372517,-4.5358799893930035,-3.859062624865407,-4.089966622025058,-4.295452273185906,-4.41060110739038,-4.614295909158922,-4.782148865739611,130
-3.78800976129769,-4.497272829566835,-4.526315917577162,-3.860858831189119,-4.092660437408019,-4.299776415140656,-4.413084787839857,-4.616795932477891,-4.792046112595714,131
-3.763259671425139,-4.490601772665701,-4.500356294077023,-3.865734248353482,-4.099972222018913,-4.311513371874975,-4.419826206202722,-4.623581710057948,-4.818910068347994,132
-3.7267858547708532,-4.480770741442975,-4.4621000068136585,-3.8729190736483314,-4.110747483550755,-4.328809939693972,-4.429760928000627,-4.633581803333823,-4.858499055772405,133
-3.6824962202620783,-4.468833060672523,-4.415645943708146,-3.881643504363506,-4.1238317296965645,-4.349812914902755,-4.441824518755229,-4.645724773740243,-4.906571397644905,134
-3.634298676826058,-4.455842055128207,-4.365092992681558,-3.891137737788843,-4.138070468149357,-4.372669093806429,-4.454952543988178,-4.658939182711934,-4.958885416741449,135
-3.586101133390037,-4.442851049583892,-4.314540041654969,-3.90063197121418,-4.15230920660215,-4.395525272710105,-4.468080569221126,-4.672153591683625,-5.011199435837993,136
-3.541811498881262,-4.43091336881344,-4.268085978549457,-3.9093564019293545,-4.16539345274796,-4.416528247918888,-4.480144159975726,-4.684296562090045,-5.059271777710492,137
-3.5053376822269766,-4.421082337590714,-4.229829691286093,-3.916541227224204,-4.176168714279803,-4.433824815737885,-4.490078881773632,-4.694296655365919,-5.098860765134904,138
-3.4805875923544254,-4.4144112806895786,-4.203870067785953,-3.9214166443885663,-4.183480498890696,-4.445561772472205,-4.496820300136498,-4.701082432945977,-5.125724720887183,139
-3.4714691381908542,-4.4119535228838975,-4.1943059959701126,-3.9232128507122788,-4.186174314273657,-4.449885914426954,-4.4993039805859745,-4.703582456264946,-5.135621967743286,140
-3.4663618321479066,-4.381005891332773,-4.200254247708993,-3.9281534576468293,-4.191366111028212,-4.458567690839909,-4.505494498883363,-4.710173900115169,-5.143364558393447,141
-3.4524991443170494,-4.297005177122581,-4.2163995024288115,-3.9415636764691815,-4.205458130790574,-4.482132512532218,-4.522297334261989,-4.728064961994349,-5.164380161586742,142
-3.4320699201452594,-4.173214650918087,-4.2401925093843325,-3.9613261042073837,-4.226225317808792,-4.516859618184039,-4.547059407451541,-4.754430737395243,-5.1953505241873845,143
-3.407263005079515,-4.02289758338406,-4.269084017830323,-3.985323337889487,-4.251442616330914,-4.559028246475537,-4.577127639181713,-4.786446321810616,-5.232957393059596,144
-3.3802672445667925,-3.8593172451852653,-4.300524777021548,-4.01143797454354,-4.278884970604988,-4.604917636086872,-4.609848950182194,-4.821286810733227,-5.273882515067589,145
-3.35327148405407,-3.6957369069864683,-4.331965536212773,-4.037552611197594,-4.306327324879062,-4.650807025698209,-4.642570261182676,-4.856127299655839,-5.3148076370755835,146
-3.328464568988326,-3.5454198394524408,-4.360857044658763,-4.061549844879696,-4.331544623401184,-4.692975653989707,-4.672638492912847,-4.888142884071212,-5.352414505947794,147
-3.308035344816536,-3.421629313247948,-4.384650051614285,-4.0813122726178985,-4.352311810419402,-4.727702759641529,-4.6974005661024,-4.914508659472107,-5.383384868548438,148
-3.294172656985679,-3.3376285990377563,-4.4007953063341025,-4.09472249144025,-4.366403830181765,-4.7512675813338365,-4.714203401481025,-4.932399721351285,-5.404400471741733,149
-3.2890653509427312,-3.306680967486633,-4.406743558072983,-4.099663098374801,-4.371595626936319,-4.759949357746792,-4.720393919778413,-4.938991165201509,-5.412143062391893,150
-3.2911664228139617,-3.320745712766798,-4.402296619972033,-4.103900770463064,-4.376418471011568,-4.756823632521248,-4.727038554861312,-4.9439240165188965,-5.418698499874552,151
-3.296869332178729,-3.358921449955818,-4.3902263594123125,-4.115403023274064,-4.389509047787242,-4.748339521194769,-4.745073992943464,-4.957313184380377,-5.436491830184626,152
-3.305273619663649,-3.4151804310764775,-4.3724386070085135,-4.132353711627116,-4.408800424088236,-4.735836620292589,-4.7716525332750575,-4.977044589649925,-5.4627135801152615,153
-3.3154788258953385,-3.483494908151565,-4.350839193375329,-4.1529366903415355,-4.432225666739443,-4.720654526339943,-4.8039264751062785,-5.00100415319152,-5.494554276459605,154
