C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-4.271907041231832,-2.7076596508463413,-3.263555175347958,-4.129280166429534,-2.8984745879783405,-4.656494445744721,-3.3205222835438994,-3.729031729329494,-3.6573088984462925,-3.305988390603634,58
-4.250384603585924,-2.699337192394652,-3.1215624922418357,-4.098905104583287,-2.9087697924478735,-4.686670538513845,-3.3335799369024604,-3.739885766213046,-3.6701936479027,-3.3181122769837748,59
-4.224065896024206,-2.6947748251943895,-3.0606677378034837,-4.067769956506384,-2.9158344802844747,-4.673805236037219,-3.343174776302527,-3.7469325908850664,-3.6819402025994608,-3.3272269472613214,60
-4.192845315168777,-2.694901031979632,-3.089631207495127,-4.038101484438111,-2.919941230785278,-4.616365555676131,-3.349492673842165,-3.7506201571499824,-3.6927242360724972,-3.3336957054485334,61
-4.158333167965126,-2.7000988640795556,-3.192614385541151,-4.013081541423787,-2.922281042187405,-4.525758895161528,-3.353709515934759,-3.7524185452311616,-3.7029130749063204,-3.3387143655029683,62
-4.121493950677035,-2.7096782049269312,-3.352684925008904,-3.9922674565783733,-2.923229104938505,-4.4095745936794595,-3.3562760079214904,-3.7526833426511375,-3.712534101718706,-3.3425732131757835,63
-4.083292159568281,-2.7229489379545293,-3.5529104789657358,-3.975216559016829,-2.923160609486227,-4.275401990415971,-3.3576428551435353,-3.751770136932445,-3.7216146991274295,-3.3455625342181325,64
-4.044692290902644,-2.7392209465951196,-3.7763587004789905,-3.9614861778541157,-2.9224507462782197,-4.130830424557117,-3.3582607629420744,-3.750034515597618,-3.7301822497502664,-3.347972614381173,65
-4.006658840943902,-2.7578041142814724,-4.006097242616019,-3.9506336422051964,-2.9214747057621335,-3.9834492352889446,-3.3585804366582868,-3.7478320661691904,-3.7382641362049918,-3.3500937394160606,66
-3.9701563059558334,-2.778008324446357,-4.225193758444167,-3.942216281185029,-2.9206076783856165,-3.8408477617975034,-3.359052581633351,-3.745518376169698,-3.7458877411093825,-3.352216195073951,67
-3.936149182202218,-2.799143460522545,-4.416715901030784,-3.9357914239085776,-2.920224854596318,-3.710615343268842,-3.3601279032084452,-3.743449033121674,-3.753080447081211,-3.3546302671059998,68
-3.905601965946835,-2.8205194059428056,-4.563731323443216,-3.9309163994908025,-2.9207014248418877,-3.6003413188890123,-3.3622571067247495,-3.7419796245476524,-3.7598696367382556,-3.357626241263363,69
-3.8794791534534623,-2.841446044139909,-4.649307678748811,-3.9271485370466643,-2.922412579569974,-3.5176150278440623,-3.365890897523442,-3.7414657379701683,-3.76628269269829,-3.361494403297196,70
-3.8575812622088597,-2.8645472821809452,-4.674543219209854,-3.9267115279456,-2.925333503612131,-3.4599313898958166,-3.3711636611762117,-3.7415616993056626,-3.772179728452233,-3.366257551175717,71
-3.8387972502469387,-2.891996522654387,-4.657607555865173,-3.931299822384743,-2.92906132437351,-3.4180282679782747,-3.3776826582024007,-3.7417067099658254,-3.7774546324840115,-3.3716273133615506,72
-3.8227242746522037,-2.922427892275081,-4.607175379946946,-3.9396768877206028,-2.9334041461621614,-3.3893594160357488,-3.385107906364675,-3.741933670716067,-3.7821854499009158,-3.377427221347466,73
-3.8089594925091608,-2.9544755177578725,-4.531921382687347,-3.9506061913096886,-2.9381700732861322,-3.3713785880125506,-3.3930994234257,-3.742275482321796,-3.7864502258102393,-3.383480806626233,74
-3.797100060902314,-2.9867735258176067,-4.4405202553185505,-3.962851200508507,-2.94316721005347,-3.3615395378529906,-3.4013172271481382,-3.742765045548422,-3.7903270053192704,-3.3896116006906176,75
