C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,time
-3.7703279529095304,-3.4156889184052743,-4.474930849628691,-3.4123465185985506,-4.210476876417417,-4.763494210783361,-4.001925193284864,-4.3769713840524975,-4.395198058104494,-3.750604271306555,-3.4167599402876543,-5.207501157342568,-3.667098837004505,-3.6876935114577982,-3.4571529377452186,-3.8242572453718537,-3.9142688852362206,-5.468392480582668,-4.742835095622773,-3.652230179471805,-3.529327990178712,-4.282449660199176,-3.6680266285012766,-5.068470880513805,-4.596327660527646,36
-3.7811156714678935,-3.3782559459584096,-4.670034018080956,-3.3965308126301323,-3.935721273596375,-5.004499308751326,-3.889601458681212,-4.5003653764214,-4.079826445510177,-3.7664432826887615,-3.442145614838492,-5.487912400431751,-3.624306673588071,-3.657240131293724,-3.405120964690705,-3.7744625070110733,-3.7449122440942535,-5.46396524061451,-4.969650642767038,-3.6206043102151524,-3.5263813841868155,-3.9820361055607156,-3.6434082584313403,-5.328368618179853,-4.226705553864404,37
-3.7899996749865457,-3.347428792178639,-4.8307072156298805,-3.383506113597317,-3.7094519536261057,-5.20297409531318,-3.7970995595958525,-4.60198395837226,-3.8201086469030927,-3.779487174415285,-3.463051464468594,-5.718839306505197,-3.589066068421596,-3.6321608770409575,-3.362271104528164,-3.733455075419842,-3.605442069036162,-5.460319278287791,-5.156439916885845,-3.5945594767096742,-3.523954767487606,-3.7346367076231597,-3.62313430660904,-5.542402049198953,-3.9223108777887914,38
-3.7960281059456307,-3.326510366399509,-4.939735456823793,-3.3746679249679064,-3.555912057931994,-5.337653414765865,-3.734330413787929,-4.670939424696058,-3.6438715692768566,-3.7883383866582823,-3.477237576717591,-5.875539707055033,-3.5651528006300586,-3.6151428116551503,-3.3331944137035823,-3.705628603982935,-3.5108015931038863,-5.4578452324232325,-5.283189781466463,-3.576886196830956,-3.5223081347274285,-3.566758544736961,-3.6093769821581927,-5.687639020247627,-3.715757347594626,39
-3.7982491068252937,-3.318803577954566,-4.979903756211023,-3.3714117502097025,-3.4993447279394267,-5.387272111406328,-3.7112049390165898,-4.696344070183772,-3.578942119625086,-3.791599359589913,-3.4824640391251167,-5.9332714335733945,-3.55634264933844,-3.6088729980919587,-3.322481948662947,-3.695376746085127,-3.475934049339364,-5.456933741841553,-5.3298870999961645,-3.570374988454587,-3.521701480552626,-3.5049086952525723,-3.6043084942026176,-5.741147378002401,-3.6396586785757234,40
-3.8048833624800107,-3.3268489567032504,-4.985358852670596,-3.363231095519353,-3.4981152857100515,-5.392822615375319,-3.753141672600985,-4.665101773699698,-3.6381629891438028,-3.7836337958534214,-3.470949247161192,-5.870303540263115,-3.558651816470119,-3.675008322782605,-3.325906363570459,-3.689055187615448,-3.475405468749197,-5.40680923551609,-5.330126766240951,-3.607446207397165,-3.5168129377416695,-3.506855462959571,-3.6064583040863893,-5.684091885785066,-3.7098991935165686,41
-3.822890627828527,-3.3486864133068215,-5.000165543060866,-3.341026461359832,-3.494778228230318,-5.407888269005438,-3.866969949472917,-4.580301254671497,-3.7989053492660356,-3.762012979997229,-3.4396948118305395,-5.699390686992354,-3.564919555827534,-3.8545184898000757,-3.3352012040337065,-3.671896671769175,-3.473970750004458,-5.270757004061262,-5.330777288905372,-3.7080680873841656,-3.503544035826216,-3.5121395467357095,-3.612293502342342,-5.529226978338015,-3.9005520197845787,42
-3.849427650447394,-3.3808679283015586,-5.021985928899157,-3.3083038425984324,-3.4898604593128164,-5.430090284881403,-4.034716883810501,-4.455332068735198,-4.035788827340905,-3.730150725051262,-3.3936356439748407,-5.447519113751231,-3.57415622435425,-4.119059788562665,-3.3488988636637553,-3.646610437890457,-3.4718564276437904,-5.07025897875941,-5.331735953884517,-3.8563529631544817,-3.4839898645823895,-3.519926617563704,-3.6208927418774293,-5.301005009468675,-4.181514079547964,43
-3.8816511779131613,-3.41994548222374,-5.048482111702797,-3.268569234102449,-3.4838888827701364,-5.4570498755879315,-4.238409589791852,-4.303583771526839,-4.323433050717531,-3.6914608440454457,-3.3377066544357796,-5.141675060529872,-3.5853721789938353,-4.440288508488663,-3.365531736071672,-3.6159057253234432,-3.4692890362058373,-4.826797090892879,-5.332900047073481,-4.036413169447008,-3.4602455137863157,-3.5293823464262695,-3.631334675598608,-5.023878332984481,-4.522682294974928,44
-3.9167179578023776,-3.462471055609642,-5.077316192989111,-3.2253286307391718,-3.477390402414866,-5.486388253709742,-4.460075181595085,-4.138445918682446,-4.636457646745035,-3.6493571500097035,-3.2768427540550356,-4.8088447673183925,-3.597577776689853,-4.789860938996367,-3.3836322148685216,-3.582491773412281,-3.466495110229241,-4.561853271744006,-5.334166854367352,-4.2323610410006385,-3.4344060732141166,-3.5396724043061187,-3.642697956412831,-4.722299302692855,-4.893953588233682,45
-3.951784737691595,-3.504996628995544,-5.106150274275425,-3.1820880273758947,-3.4708919220595966,-5.515726631831552,-4.681740773398319,-3.9733080658380535,-4.94948224277254,-3.6072534559739617,-3.215978853674292,-4.476014474106913,-3.609783374385872,-5.139433369504071,-3.4017326936653713,-3.5490778215011187,-3.4637011842526446,-4.296909452595132,-5.335433661661224,-4.428308912554269,-3.408566632641919,-3.5499624621859684,-3.6540612372270544,-4.4207202724012316,-5.265224881492436,46
-3.9840082651573616,-3.544074182917725,-5.132646457079065,-3.1423534188799107,-3.4649203455169157,-5.542686222538081,-4.885433479379672,-3.821559768629692,-5.237126466149167,-3.5685635749681444,-3.16004986413523,-4.17017042088555,-3.620999329025456,-5.4606620894300715,-3.4183655660732883,-3.5183731089341044,-3.4611337928146915,-4.053447564728598,-5.336597754850187,-4.608369118846796,-3.3848222818458438,-3.559418191048534,-3.6645031709482323,-4.143593595917034,-5.606393096919404,47
-4.010545287776228,-3.5762556979124622,-5.154466842917357,-3.109630800118511,-3.460002576599414,-5.564888238414046,-5.0531804137172545,-3.696590582693394,-5.474009944224036,-3.536701320022177,-3.113990696279531,-3.9182988476444285,-3.6302359975521727,-5.72520338819266,-3.4320632257033368,-3.4930868750553867,-3.459019470454024,-3.852949539426747,-5.337556419829333,-4.756653994617112,-3.3652681106020177,-3.567205261876528,-3.6731024104833203,-3.9153716270476946,-5.887355156682787,48
-4.028552553124745,-3.5980931545160333,-5.169273533307625,-3.0874261659589908,-3.4566655191196807,-5.5799538920441645,-5.167008690589185,-3.611790063665193,-5.634752304346268,-3.5150805041659856,-3.082736260948879,-3.747385994373669,-3.636503736909588,-5.9047135552101295,-3.4413580661665844,-3.475928359209114,-3.457584751709285,-3.7168973079719207,-5.338206942493754,-4.8572758746041105,-3.351999208686564,-3.572489345652667,-3.6789376087392727,-3.760506719600645,-6.078007982950795,49
-4.035186808779462,-3.606138533264718,-5.174728629767198,-3.079245511268641,-3.4554360768903054,-5.585504396013156,-5.208945424173581,-3.580547767181119,-5.693973173864984,-3.507114940429494,-3.0712214689849544,-3.6844181010633896,-3.638812904041267,-5.9708488799007755,-3.444782481074096,-3.469606800739435,-3.457056171119118,-3.6667728016464585,-5.33844660873854,-4.894347093546689,-3.347110665875608,-3.5744361133596656,-3.6810874186230444,-3.7034512273833107,-6.1482484978916405,50
-4.022287485207044,-3.5992892115945403,-5.1731195124392455,-3.096018832841741,-3.4567661003099888,-5.527823515002117,-5.215951035654565,-3.6485865472316394,-5.635727892636645,-3.501068313293388,-3.0807768352864344,-3.6842059222170205,-3.642158655713787,-5.9055743862785866,-3.443762878654216,-3.4662259201730827,-3.46426934310282,-3.667863354220531,-5.283880693986905,-4.856691531947034,-3.354485524011782,-3.5762422737548687,-3.678407366799016,-3.705063278624232,-6.098185016997883,51
-3.987275035510482,-3.58069819563263,-5.168751908263372,-3.1415464199687255,-3.4603761638777,-5.371261123686441,-5.234966266817237,-3.8332632359401932,-5.477633557874008,-3.484656039638243,-3.1067128295333064,-3.6836300082054465,-3.651239981682056,-5.7284007607326455,-3.4409953863716845,-3.4570492443501264,-3.4838479527728676,-3.670823425493013,-5.135773211089615,-4.754483579033685,-3.3745029960956825,-3.5811447091132758,-3.6711329404195103,-3.709438846278162,-5.962298426000544,52
-3.9356777412208124,-3.553300908951921,-5.162315438951561,-3.208639706261125,-3.465696257556433,-5.140537599642288,-5.2629887127411745,-4.105418356142272,-5.244652432960652,-3.4604695310938207,-3.1449342947392247,-3.6827812928199704,-3.6646229883721366,-5.467302786243891,-3.436916976692165,-3.443525722084718,-3.512700640707675,-3.675185635789303,-4.917509552083081,-4.603861332635065,-3.4040024286403785,-3.5883693506940872,-3.6604127331233975,-3.7158870512418476,-5.762044502425519,53
-3.8730238838690694,-3.5200327751253444,-5.154499726215789,-3.2901101253304668,-3.47215637130918,-4.860373320445815,-5.297015968505955,-4.435892430673372,-4.9617467812801435,-3.4311001992898778,-3.191346073917839,-3.681750709851891,-3.6808737822100914,-5.150255245793259,-3.4319646220813196,-3.4271043021910073,-3.547736047485655,-3.680482605434798,-4.652475109003717,-4.420962890579596,-3.439823168158938,-3.5971421297565005,-3.6473953385495452,-3.7237170144120375,-5.5188790237987,54
-3.804841744986291,-3.483829217725835,-5.1459943917680375,-3.378769110788279,-3.4791864950989337,-4.5554886636731835,-5.3340456291911575,-4.795525982368975,-4.653878866216064,-3.399139455856176,-3.241853010082802,-3.680629193092511,-3.6985584696219833,-4.805232922361691,-3.426575295004811,-3.4092339334831454,-3.585862813685221,-3.6862469547548944,-4.3640552738879395,-4.221926350695705,-3.4788045611644285,-3.606688977559715,-3.6332293503368236,-3.7322378566854795,-5.254257767645988,55
-3.7366596061035118,-3.447625660326326,-5.137489057320286,-3.467428096246093,-3.486216618888688,-4.25060400690055,-5.3710752898763605,-5.155159534064582,-4.346010951151982,-3.367178712422474,-3.292359946247765,-3.679507676333131,-3.716243157033876,-4.4602105989301215,-3.4211859679283023,-3.3913635647752836,-3.623989579884788,-3.692011304074992,-4.07563543877216,-4.022889810811813,-3.51778595416992,-3.6162358253629296,-3.619063362124102,-3.7407586989589214,-4.9896365114932735,56
-3.67400574875177,-3.41435752649975,-5.129673344584514,-3.548898515315434,-3.4926767326414345,-3.9704397277040786,-5.4051025456411415,-5.485633608595678,-4.063105299471476,-3.3378093806185314,-3.3387717254263793,-3.678477093365052,-3.7324939508718304,-4.143163058479492,-3.416233613317457,-3.374942144881573,-3.659024986662768,-3.6973082737204868,-3.8106009956927984,-3.8399913687563463,-3.553606693688479,-3.6250086044253433,-3.6060459675502505,-3.7485886621291113,-4.746471032866457,57
-3.622408454462099,-3.3869602398190404,-5.123236875272703,-3.615991801607833,-3.4979968263201675,-3.739716203659924,-5.4331249915650774,-5.757788728797759,-3.830124174558117,-3.3136228720741077,-3.376993190632297,-3.677628377979575,-3.7458769575619106,-3.882065083990735,-3.412155203637937,-3.361418622616164,-3.687877674597575,-3.701670484016776,-3.5923373366862625,-3.689369122357725,-3.5831061262331745,-3.632233246006154,-3.595325760254137,-3.7550368670927967,-4.54621710929143,58
-3.5873960047655378,-3.36836922385713,-5.1188692710968295,-3.6615193887348183,-3.5016068898878787,-3.5831538123442486,-5.45214022272775,-5.942465417506312,-3.6720298397954823,-3.2972105984189635,-3.4029291848791696,-3.6770524639680016,-3.7549582835301796,-3.704891458444796,-3.4093877113554054,-3.352241946793208,-3.707456284267623,-3.7046305552892584,-3.4442298537889724,-3.587161169444376,-3.603123598317075,-3.6371356813645614,-3.588051333874631,-3.7594124347467264,-4.410330518294091,59
-3.57449668119312,-3.3615199021869526,-5.117260153768877,-3.6782927103079177,-3.502936913307562,-3.5254729313332107,-5.459145834208734,-6.010504197556831,-3.613784558567143,-3.2911639712828578,-3.412484551180649,-3.6768402851216324,-3.7583040352026997,-3.6396169648226073,-3.4083681089355258,-3.348861066226856,-3.7146694562513245,-3.7057211078633308,-3.389663939037339,-3.549505607844721,-3.610498456453249,-3.638941841759764,-3.5853712820506027,-3.761024485987648,-4.360267037400335,60
-3.5814572456139024,-3.374010413038988,-5.071175720750283,-3.671687190421174,-3.506651150957526,-3.539287654922994,-5.413008214543119,-5.945510367154363,-3.6433312060749663,-3.3001988406026257,-3.4223482505585143,-3.7000954207667816,-3.8086010653811972,-3.6581853085326785,-3.4137447111960944,-3.3642540321384975,-3.738003414364664,-3.7322464510353837,-3.4221885258546973,-3.57236495997943,-3.6074214484918556,-3.665323720261272,-3.6327021742283,-3.788879904581629,-4.366228420450477,61
-3.6003502061845962,-3.407913228208797,-4.946089402556956,-3.6537579221571543,-3.5167326531502843,-3.5767847618095465,-5.287777532593593,-5.769098541776238,-3.7235292493104843,-3.324722057327708,-3.4491211488698603,-3.763216503232186,-3.9451215758656892,-3.7085850986028706,-3.428338345903351,-3.406034939612951,-3.80133844352944,-3.8042438110738117,-3.5104695472160974,-3.634411772916497,-3.5990695697394997,-3.736931676193935,-3.76117173871062,-3.864487469336718,-4.382409317300859,62
-3.628192463867725,-3.457875271616937,-4.76175167048258,-3.627335842610178,-3.5315896037501395,-3.632043656168678,-5.103227053931134,-5.509123220166366,-3.841715839341775,-3.3608615346067774,-3.4885759463813186,-3.8562370458127835,-4.146309696579679,-3.782858473443155,-3.4498447549456244,-3.4676068032595153,-3.8946742759827964,-3.9103451837620224,-3.64056789448553,-3.7258491814553327,-3.5867615378939233,-3.8424591901999654,-3.9504953074214084,-3.9759091437126397,-4.4062548495014235,63
-3.66200091962581,-3.5185434671839646,-4.53791299582084,-3.5952518888745653,-3.5496301866213926,-3.6991437421761946,-4.879130044126723,-5.193438901068669,-3.9852281272369137,-3.404745185588505,-3.536485343359518,-3.969190561803508,-4.390609557446664,-3.8730475714634993,-3.4759596802112425,-3.5423726376874862,-4.008010643961871,-4.039182564883421,-3.798544459026983,-3.836880320395348,-3.5718160706528668,-3.970599742921573,-4.180388212284508,-4.111206891169116,-4.43521013860211,64
-3.6987924744213725,-3.5845647388304345,-4.294323849865417,-3.560336998044633,-3.5692625856283433,-3.7721644240079035,-4.635259768751332,-4.849900083227056,-4.1414032640639755,-3.452500923421561,-3.5886220400710878,-4.092110564499295,-4.656465288390148,-3.9711945310738734,-3.504378863588532,-3.62373545750616,-4.131347279703805,-4.179387950221412,-3.9704601322044453,-3.9577083245359512,-3.55555188571407,-4.1100468150009695,-4.430565785223761,-4.258442675165869,-4.4667203061528555,65
-3.7355840292169353,-3.6505860104769052,-4.050734703909992,-3.525422107214701,-3.588894984635295,-3.8451851058396134,-4.391389493375939,-4.506361265385442,-4.297578400891039,-3.5002566612546175,-3.640758736782658,-4.215030567195085,-4.9223210193336335,-4.069341490684249,-3.532798046965822,-3.7050982773248347,-4.25468391544574,-4.319593335559405,-4.14237580538191,-4.078536328676556,-3.539287700775273,-4.249493887080368,-4.680743358163018,-4.405678459162623,-4.498230473703602,66
