C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-3.2726380689095294,-3.5675294618129447,-4.0095204220284435,-2.9161905349785386,-2.830723689613662,-3.163831839669167,-4.70076181495598,-3.0962177183092523,-3.0825635019229827,-3.4389033181169975,-3.343185914779078,-3.3856796005936722,-3.3052076655785423,-3.384740915855513,-3.7135954963898437,-3.4787481490390397,-3.739803128476116,-3.524126193239005,-3.8548479821926582,-3.0627652830414718,-3.1637773783253405,-3.4830630464666275,-3.663293817867398,-3.9343554530461695,80
-3.2403326801709156,-3.569379737738084,-3.950986926006866,-2.879335676290971,-2.8472637642591576,-3.159015982505265,-4.613977701240558,-3.0859592672372944,-3.1013074299532533,-3.4605594452422594,-3.3589536235815576,-3.3967674831670265,-3.3225742789359964,-3.4088402468444974,-3.73288857073348,-3.46708299252263,-3.752397915016935,-3.5433737678630517,-3.873720209141384,-3.0802322991024598,-3.1869281230139572,-3.49426298667023,-3.6786839752620666,-3.9701539727623283,81
-3.2185445142934452,-3.5711911756360126,-3.85725338751699,-2.8548791506380065,-2.8672105989088235,-3.154677826285095,-4.455196366595012,-3.0781046210463283,-3.1226019831854073,-3.486277722211439,-3.3790335814780597,-3.4100100974560728,-3.3432423279512182,-3.438085499612993,-3.7536039230014357,-3.4571139764602354,-3.7707675230669473,-3.567477682683341,-3.8960716863023306,-3.100754028743623,-3.2159182456700046,-3.5062732821353912,-3.6965610209475264,-4.014982690241557,82
-3.2056337833612756,-3.5723639271616308,-3.7390556965104174,-2.841070691357478,-2.8894502942863207,-3.1510448204208608,-4.243130942872007,-3.072428280762085,-3.1455068861291036,-3.514779966641115,-3.402023272862193,-3.424875722963962,-3.3660504653282226,-3.470941083929389,-3.774871311917294,-3.4488038737865976,-3.7933356942750804,-3.594899534940809,-3.9205442179258068,-3.123406101744855,-3.2488757687402736,-3.5187126976697622,-3.716011266145777,-4.065982267150186,83
-3.1999606994585643,-3.5722981439698414,-3.6071297429387634,-2.836160031787221,-2.9128689511153096,-3.148344414324766,-3.9964945619242345,-3.0687047474102993,-3.169081863294,-3.5447879961478646,-3.426520182127564,-3.440832639193845,-3.389837343771025,-3.5058714095620767,-3.795820496204637,-3.4421154574364605,-3.8185261702902635,-3.6241009218763827,-3.9457796082621206,-3.1472641478860495,-3.2839287146715517,-3.5311999980809947,-3.7361210220788155,-4.120293365154537,84
-3.199885474669467,-3.5703939777155447,-3.472211416753635,-2.8383969052650673,-2.9363526701194482,-3.1468040574090135,-3.734000355604368,-3.0667085220167007,-3.1923866391897544,-3.575023628348262,-3.4511217936677787,-3.457349125648869,-3.41344161598364,-3.541340886279444,-3.8155812345870466,-3.437011500344564,-3.8447626927614236,-3.6535434407309944,-3.9704196615615768,-3.1714037969470987,-3.31920510591063,-3.5433539481767387,-3.7559765999686388,-4.175056645920936,85
-3.2037683210781434,-3.5660515800536423,-3.345036607906639,-2.8460310451288526,-2.958787552022398,-3.1466511990858073,-3.4743614557650835,-3.0662141056070227,-3.2144809383260267,-3.604208680858887,-3.4744255918764453,-3.4738934618321857,-3.4357019346700843,-3.575813923849882,-3.833283285788105,-3.4334547754456533,-3.870469003337489,-3.681688688745576,-3.993106182074485,-3.1949006787078975,-3.352832964904297,-3.5547933127646454,-3.7746643110372453,-4.227412771115709,86
-3.209969450768748,-3.5586711026390376,-3.236341206349391,-2.8573121847164096,-2.9790596975478167,-3.1481132887673504,-3.236290994259073,-3.066995999206996,-3.234424485212473,-3.6310649712963126,-3.495029061147169,-3.489933927246943,-3.4554569525343717,-3.607754932041779,-3.8480564085313937,-3.4314080556744693,-3.8940688436673856,-3.7069982631610565,-4.012480974051151,-3.2168304229483375,-3.382940314099342,-3.5651368566523653,-3.791270466506632,-4.2745024024051785,87
-3.216849075825442,-3.54765269712663,-3.156861102033494,-2.8704900573655743,-2.996055207419367,-3.151417775865849,-3.0385021029389994,-3.068828703842355,-3.2512770043587538,-3.654314317277119,-3.5115296858735596,-3.504938801396293,-3.4715453222805195,-3.635628320623528,-3.8590303615404977,-3.430834113965757,-3.913985955400045,-3.72793376121837,-4.027185841741883,-3.2362686594483137,-3.4076551759425557,-3.574003344647551,-3.8048813775987984,-4.313466201455675,88
-3.2227674083323796,-3.532396515171322,-3.11733218491056,-2.8838143964141776,-3.008660182360707,-3.156792109793502,-2.8997079136575525,-3.07148672053883,-3.264098220274527,-3.6726785364178816,-3.5225249504492226,-3.518376363783385,-3.482805696612542,-3.6578984993635153,-3.8653349035389963,-3.4316957232542564,-3.9286440801843927,-3.7429567801584454,-4.035862589396989,-3.252291017987718,-3.4251055728807267,-3.5810115415578525,-3.81458335553574,-4.34144482993352,89
-3.2260846603737194,-3.5123027084280154,-3.1284903449321977,-2.8955349352000557,-3.0157607230954957,-3.1644637399625175,-2.838621558267408,-3.074744550322154,-3.27194785746945,-3.6848794463351764,-3.526612339267765,-3.529714893911368,-3.4880767282344545,-3.673029878030132,-3.8660997932504735,-3.433955656474711,-3.936466959669357,-3.7505289172222143,-4.037153021266774,-3.2639731283464446,-3.433419527360644,-3.5857802121909206,-3.8194627115394555,-4.355578949505039,90
-3.2293652109698403,-3.485597392207972,-3.208862073812242,-2.907905985374381,-3.015272078616155,-3.1746057159091037,-2.8682602702437756,-3.077741452458617,-3.2723176673190526,-3.6899838385145314,-3.5207466600352553,-3.539153711505886,-3.4850099933602845,-3.6803530837466583,-3.8524513005921603,-3.4360684520406406,-3.9289642069956607,-3.7482191177448643,-4.028843605798368,-3.2702607535161277,-3.4297746288218844,-3.587102206779899,-3.8168708920462016,-4.346167895753423,91
-3.2357342359336783,-3.4519171399679234,-3.357606351441887,-2.9239950336522735,-3.007191208723566,-3.187078302799982,-2.976449635151582,-3.080233088439843,-3.2647892788737978,-3.6887987862529377,-3.504690599883917,-3.5473549635964368,-3.4735051722677364,-3.6810887066365847,-3.8203620479528806,-3.4372141260272313,-3.9030535788648177,-3.736272176440534,-4.011113102536155,-3.2715268124240824,-3.4145441814527286,-3.5847022415797123,-3.806284007512568,-4.310787650422775,92
-3.244393142538227,-3.412777790580969,-3.556407800038805,-2.9432715759674877,-2.9935267803540837,-3.2016397734931212,-3.1441153129780957,-3.0829185626295654,-3.251557233155745,-3.6826565298841674,-3.4812534623465883,-3.554481170641954,-3.4557730737563364,-3.676536100968621,-3.7762313227635973,-3.4384436678617223,-3.8652710322669406,-3.717163464618581,-3.9861917523763184,-3.2689876687537227,-3.390649779823019,-3.57959688043068,-3.7899753651910513,-4.257493844420784,93
-3.25454333805648,-3.369695182920212,-3.7869510418206507,-2.9652051082537794,-2.9762874604440603,-3.21804840084649,-3.3521829637105705,-3.0864969793915176,-3.234816071186954,-3.672889309741994,-3.453244550956111,-3.56069485310137,-3.4340245066256156,-3.6679946210114758,-3.72645841245528,-3.4408080669713565,-3.8221525241921457,-3.693368353588363,-3.956309796215051,-3.263859686188464,-3.3610130185025997,-3.5728026871731227,-3.770218272334149,-4.194342108655146,94
-3.2653862297614293,-3.3241851558587534,-4.030920699005087,-2.9892651264449017,-2.957481915929849,-3.2360624577180563,-3.581578247336271,-3.0916674430894324,-3.216760333989483,-3.6608293661601885,-3.4234731692453226,-3.566158531433614,-3.4104702796751014,-3.6567636210338543,-3.677442604458892,-3.445358312783373,-3.780234011630543,-3.6673622146592386,-3.9236974749485385,-3.2573592284117177,-3.328555492061314,-3.565336225647359,-3.749286036194356,-4.1293880740335505,95
