C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-4.739933024412393,-4.426876701223216,-4.268149938890214,-3.693066769648915,-3.8739287590748774,-3.8207581101784513,-3.4165787003375403,-3.4755009709891014,-3.5888347660649647,-3.894329056518636,-3.527389569197875,-4.00025972211014,-3.8187402075794363,-4.084372833473194,-3.593123510654708,71
-4.740261341503467,-4.42203110216525,-4.264219287722293,-3.6959434042049915,-3.862339523204993,-3.819855699620633,-3.4237651638822575,-3.480750610375882,-3.5911394267325725,-3.895542662713405,-3.532137689427983,-4.002684712061831,-3.8200709475291275,-4.088560007832829,-3.5958836479790555,72
-4.740745177216629,-4.414890219342983,-4.258426749159041,-3.700182655129737,-3.8452606492914794,-3.818525831430165,-3.4343557417376305,-3.4884869210511384,-3.594535768769047,-3.8973311350004334,-3.539134919240773,-4.006258381464323,-3.8220320379813035,-4.094730580573343,-3.599951218772831,73
-4.741332692011186,-4.406219147344517,-4.2513929523322345,-3.705330316966929,-3.824522016682214,-3.8169109914845967,-3.4472157291334407,-3.4978810125853785,-3.598659898384767,-3.899502851348969,-3.54763155544202,-4.010597837167349,-3.824413362101804,-4.102223418901112,-3.6048904118795595,74
-4.7419720463464365,-4.396782980757951,-4.243738526373651,-3.7109321842603435,-3.8019535047250708,-3.815153665661478,-3.4612104212994694,-3.50810399454911,-3.6031479217901086,-3.901866189728257,-3.556877894837493,-4.0153201860206424,-3.8270048030564654,-4.1103773900225065,-3.610265416142763,75
-4.742611400681687,-4.3873468141713845,-4.236084100415068,-3.716534051553758,-3.7793849927679277,-3.8133963398383597,-3.4752051134654978,-3.518326976512842,-3.6076359451954505,-3.904229528107545,-3.566124234232967,-4.0200425348739355,-3.8295962440111273,-4.118531361143901,-3.615640420405967,76
-4.743198915476242,-4.378675742172918,-4.229050303588261,-3.721681713390949,-3.758646360158662,-3.811781499892791,-3.488065100861308,-3.527721068047082,-3.61176007481117,-3.90640124445608,-3.5746208704342135,-4.024381990576962,-3.8319775681316273,-4.12602419947167,-3.620579613512694,77
-4.743682751189405,-4.371534859350652,-4.223257765025009,-3.7259209643156948,-3.7415674862451485,-3.8104516317023225,-3.498655678716681,-3.535457378722338,-3.6151564168476447,-3.9081897167431086,-3.5816181002470038,-4.027955659979454,-3.8339386585838033,-4.132194772212185,-3.62464718430647,78
-4.74401106828048,-4.366689260292685,-4.219327113857088,-3.7287975988717723,-3.7299782503752645,-3.809549221144505,-3.505842142261398,-3.5407070181091194,-3.6174610775152525,-3.9094033229378784,-3.586366220477112,-4.0303806499311445,-3.8352693985334945,-4.13638194657182,-3.6274073216308174,79
-4.744132027208771,-4.364904039587119,-4.217878979216275,-3.729857411602959,-3.725708531896886,-3.8092167540968878,-3.5084897867252414,-3.5426410957779333,-3.618310163024371,-3.9098504410096355,-3.58811552793031,-4.0312740672817675,-3.8357596711465387,-4.137924589756949,-3.6284242143292613,80
-4.735977773042117,-4.363617819945028,-4.221549917314089,-3.730730692476517,-3.7219593568325724,-3.8069031530375774,-3.50865102060342,-3.5440910518231385,-3.6201462130192086,-3.911174876821998,-3.59028998236035,-4.033211829919801,-3.837101254684578,-4.138978247002104,-3.6299310971878107,81
-4.713844797446913,-4.3601266523450715,-4.231513892151015,-3.733101026276174,-3.7117830245151495,-3.800623378733737,-3.509088655415618,-3.548026646802981,-3.6251297772909115,-3.9147697740269822,-3.596192072956174,-4.03847147136589,-3.8407426957163993,-4.141838173810382,-3.6340212078038725,82
-4.681227780780295,-4.354981773776712,-4.246197644542273,-3.736594149770406,-3.6967863242578947,-3.7913689744964976,-3.5097335909283314,-3.5538264709838017,-3.632473977270263,-3.9200675172764323,-3.6048898906763354,-4.046222521918021,-3.8461090298685567,-4.146052802791001,-3.6400487392380687,83
-4.641621403399405,-4.34873442122942,-4.264027915303088,-3.7408357997276878,-3.6785760453740863,-3.7801314836369935,-3.5105167269080555,-3.5608691146319424,-3.6413919343880474,-3.9265004912221944,-3.6154515264793883,-4.055634511874182,-3.852625292767606,-4.151170566553183,-3.6473678845510222,84
-4.598520345661377,-4.34193583169266,-4.283431445248679,-3.745451712916494,-3.6587589771769995,-3.7679024494663556,-3.511368963121283,-3.568533168013741,-3.651096770075047,-3.933501080516111,-3.6269450713238873,-4.065876971532356,-3.8597165200400996,-4.156739897706144,-3.655332836803353,85
-4.555419287923347,-4.3351372421559,-4.302834975194272,-3.7500676261053005,-3.6389419089799135,-3.755673415295718,-3.512221199334512,-3.5761972213955406,-3.660801605762047,-3.9405016698100273,-3.6384386161683864,-4.076119431190531,-3.8668077473125937,-4.162309228859106,-3.663297789055684,86
-4.515812910542456,-4.3288898896086065,-4.320665245955085,-3.754309276062582,-3.620731630096104,-3.744435924436213,-3.513004335314235,-3.5832398650436796,-3.6697195628798305,-3.946934643755788,-3.6490002519714393,-4.0855314211466895,-3.873324010211642,-4.167426992621287,-3.6706169343686366,87
-4.48319589387584,-4.3237450110402484,-4.335348998346344,-3.7578023995568137,-3.60573492983885,-3.735181520198974,-3.513649270826949,-3.589039689224501,-3.6770637628591825,-3.952232387005239,-3.657698069691601,-4.093282471698822,-3.8786903443638,-4.171641621601908,-3.676644465802833,88
-4.4610629182806365,-4.320253843440291,-4.34531297318327,-3.7601727333564714,-3.595558597521427,-3.7289017458951332,-3.514086905639147,-3.5929752842043436,-3.6820473271308853,-3.9558272842102227,-3.6636001602874244,-4.098542113144911,-3.882331785395621,-4.174501548410185,-3.680734576418895,89
-4.452908664113982,-4.318967623798201,-4.348983911281084,-3.761046014230029,-3.5918094224571133,-3.7265881448358233,-3.5142481395173255,-3.594425240249549,-3.683883377125723,-3.9571517200225856,-3.665774614717465,-4.100479875782944,-3.8836733689336604,-4.17555520565534,-3.6822414592774444,90
-4.449037015857724,-4.322034882663748,-4.350795602795876,-3.766981599469155,-3.5911050812739607,-3.7306928791209923,-3.5203816941793202,-3.598723849352958,-3.6881160017878827,-3.9620782167585573,-3.670051921115696,-4.1056190955422265,-3.8885574380415107,-4.181757701965385,-3.687711447932211,91
-4.4385282563050215,-4.33036029958452,-4.355713051193167,-3.7830924736896403,-3.589193298062546,-3.7418343007521657,-3.5370299139761636,-3.6103915026336395,-3.6996045544423173,-3.9754501364704815,-3.68166175276804,-4.1195684063174225,-3.901814197048532,-4.198593049092647,-3.7025585599951505,92
-4.423041663279987,-4.342629335046707,-4.3629598172523325,-3.806834814646144,-3.586375933329935,-3.758253237892841,-3.5615641326241425,-3.627585939047275,-3.716535053090956,-3.995156123414369,-3.6987709783609666,-4.140125285354554,-3.9213504734799316,-4.223403034332822,-3.724438514614218,93
-4.4042365146067315,-4.357527449536508,-4.371759461752749,-3.835664800093328,-3.582954847583194,-3.778190518706519,-3.591355683839546,-3.6484648975495473,-3.737093515735733,-4.019084821846233,-3.7195464665809497,-4.165087209899641,-3.945073094860917,-4.2535294449816075,-3.751007030937373,94
-4.383772088109364,-4.373740103540113,-4.381335545473789,-3.8670386077858514,-3.5792319013293867,-3.799886971356698,-3.623775901338661,-3.671186117096137,-3.759465960378578,-4.045124876022085,-3.74215508611446,-4.192251657198707,-3.9708888887166953,-4.286314068334697,-3.779919828112569,95
-4.363307661611997,-4.38995275754372,-4.3909116291948305,-3.898412415478375,-3.5755089550755796,-3.821583424006877,-3.6561961188377765,-3.6939073366427273,-3.781838405021423,-4.071164930197936,-3.7647637056479706,-4.219416104497773,-3.996704682572474,-4.319098691687787,-3.8088326252877667,96
-4.344502512938741,-4.40485087203352,-4.399711273695246,-3.927242400925559,-3.572087869328838,-3.841520704820555,-3.68598767005318,-3.7147862951449993,-3.8023968676661997,-4.0950936286298,-3.7855391938679537,-4.244378029042861,-4.0204273039534595,-4.349225102336573,-3.835401141610921,97
-4.329015919913706,-4.417119907495708,-4.406958039754412,-3.950984741882063,-3.5692705045962274,-3.8579396419612304,-3.710521888701159,-3.731980731558635,-3.819327366314839,-4.114799615573688,-3.8026484194608807,-4.264934908079991,-4.0399635803848595,-4.374035087576749,-3.8572810962299884,98
-4.318507160361004,-4.425445324416479,-4.411875488151702,-3.9670956161025477,-3.567358721384813,-3.8690810635924033,-3.727170108498002,-3.7436483848393163,-3.830815918969273,-4.128171535285611,-3.814258251113224,-4.278884218855187,-4.05322033939188,-4.39087043470401,-3.872128208292928,99
-4.314635512104745,-4.428512583282026,-4.4136871796664945,-3.9730312013416738,-3.56665438020166,-3.8731857978775723,-3.7333036631599965,-3.7479469939427252,-3.8350485436314328,-4.133098032021583,-3.8185355575114555,-4.2840234386144695,-4.05810440849973,-4.397072931014055,-3.8775981969476945,100
-4.303992079485426,-4.421279801794304,-4.4093905829653375,-3.974853011118141,-3.5664528783567877,-3.8694940363036756,-3.7356777467585287,-3.7513535899488226,-3.8388705393470013,-4.136526696349273,-3.822241869643579,-4.285168230730471,-4.061087328914003,-4.3997841958665544,-3.8814230311535898,101
-4.275102762375847,-4.40164796632763,-4.397728391919341,-3.979797923368552,-3.5659059447778487,-3.8594735406030987,-3.742121687954545,-3.760600064822516,-3.8492445277178304,-4.145833070953005,-3.8323018597164853,-4.288275523616758,-4.069183827181317,-4.407143343323343,-3.891804723998162,102
-4.232529031898571,-4.372716840376741,-4.380542005114714,-3.98708516247442,-3.565099937398358,-3.844706494307511,-3.7516180223486737,-3.774226448846905,-3.864532510580104,-4.159547728263766,-3.8471271082449787,-4.29285469208076,-4.081115508838409,-4.417988402733343,-3.9071040608217413,103
-4.180832359176166,-4.3375861874363775,-4.359672821137669,-3.9959339528172606,-3.564121214151836,-3.8267750809485848,-3.7631492855415445,-3.7907727723050932,-3.883096489770008,-4.176201240712548,-3.8651291957438643,-4.2984151109299065,-4.095603979422023,-4.431157403445488,-3.9256818269646603,104
-4.1245742153311955,-4.2993557710012755,-4.3369622385744115,-4.005563518778587,-3.5630561329717954,-3.8072614840579875,-3.7756980131337867,-3.8087790654801794,-3.9032984671237276,-4.19432418073034,-3.8847197027279448,-4.304466154971624,-4.111370844468896,-4.445488374808704,-3.945898807767248,105
-4.068316071486224,-4.261125354566173,-4.314251656011155,-4.015193084739913,-3.5619910517917557,-3.7877478871673897,-3.7882467407260285,-3.8267853586552656,-3.9235004444774466,-4.212447120748132,-3.904310209712026,-4.310517199013342,-4.12713770951577,-4.459819346171921,-3.9661157885698355,106
-4.016619398763819,-4.225994701625809,-4.293382472034109,-4.024041875082753,-3.561012328545232,-3.769816473808463,-3.7997780039188997,-3.8433316821134538,-3.942064423667351,-4.229100633196914,-3.9223122972109112,-4.316077617862487,-4.141626180099383,-4.472988346884066,-3.9846935547127544,107
-3.9740456682865437,-4.197063575674921,-4.276196085229483,-4.031329114188622,-3.5602063211657424,-3.7550494275128763,-3.809274338313028,-3.856958066137843,-3.957352406529625,-4.242815290507676,-3.9371375457394047,-4.32065678632649,-4.153557861756476,-4.4838334062940675,-3.9999928915363343,108
-3.9451563511769643,-4.177431740208247,-4.2645338941834865,-4.036274026439033,-3.559659387586803,-3.7450289318122993,-3.8157182795090443,-3.866204541011536,-3.9677263949004535,-4.252121665111407,-3.947197535812311,-4.323764079212777,-4.161654360023789,-4.491192553750855,-4.010374584380906,109
