C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-3.7366596061035118,-3.447625660326326,-5.137489057320285,-3.4674280962460937,-3.4862166188886876,-4.25060400690055,-5.3710752898763605,-5.155159534064583,-4.346010951151983,-3.367178712422474,-3.292359946247765,-3.706083034594446,-3.679507676333132,-4.4602105989301215,-3.4211859679283023,-3.5367548242187237,-3.6920113040749936,-4.075635438772161,-3.9107157972874496,-3.6162358253629296,-3.59830388978817,-4.9896365114932735,56
-3.6740057487517697,-3.41435752649975,-5.129673344584513,-3.5488985153154355,-3.4926767326414345,-3.970439727704079,-5.4051025456411415,-5.485633608595678,-4.063105299471477,-3.3378093806185314,-3.338771725426379,-3.7233908018572075,-3.6784770933650526,-4.143163058479491,-3.4162336133174565,-3.5524939209948196,-3.6973082737204876,-3.8106009956927984,-3.775006535087987,-3.6250086044253433,-3.624016848958707,-4.746471032866457,57
-3.622408454462099,-3.3869602398190404,-5.123236875272702,-3.6159918016078345,-3.497996826320167,-3.739716203659924,-5.4331249915650774,-5.757788728797759,-3.8301241745581174,-3.3136228720741085,-3.3769931906322967,-3.7376442572500705,-3.677628377979576,-3.8820650839907342,-3.412155203637937,-3.5654555301045456,-3.7016704840167773,-3.592337336686263,-3.66324596621784,-3.632233246006154,-3.6451922270991486,-4.54621710929143,58
-3.5873960047655378,-3.36836922385713,-5.118869271096829,-3.6615193887348196,-3.5016068898878783,-3.583153812344249,-5.45214022272775,-5.942465417506312,-3.6720298397954823,-3.297210598418964,-3.4029291848791696,-3.7473162448380846,-3.677052463968002,-3.704891458444795,-3.4093877113554054,-3.574250907714717,-3.7046305552892598,-3.444229853788973,-3.58740843734167,-3.6371356813645614,-3.6595612336944483,-4.410330518294091,59
-3.57449668119312,-3.3615199021869526,-5.117260153768876,-3.678292710307919,-3.5029369133075616,-3.525472931333211,-5.459145834208734,-6.010504197556831,-3.613784558567143,-3.291163971282858,-3.412484551180649,-3.7508796086863,-3.676840285121633,-3.6396169648226064,-3.4083681089355253,-3.577491309992148,-3.705721107863332,-3.3896639390373395,-3.5594682951241334,-3.638941841759764,-3.664855078229559,-4.360267037400335,60
-3.5814572456139024,-3.374010413038988,-5.071175720750282,-3.671687190421175,-3.5066511509575253,-3.5392876549229944,-5.413008214543119,-5.945510367154363,-3.6433312060749663,-3.300198840602626,-3.4223482505585143,-3.797762198637751,-3.7000954207667824,-3.6581853085326776,-3.413744711196094,-3.5978473960298505,-3.732246451035385,-3.422188525854698,-3.5891252972707837,-3.665323720261272,-3.6729481131909396,-4.366228420450477,61
-3.6003502061845962,-3.407913228208797,-4.946089402556956,-3.6537579221571557,-3.516732653150284,-3.576784761809547,-5.287777532593593,-5.769098541776238,-3.7235292493104843,-3.3247220573277083,-3.4491211488698603,-3.9250149427916887,-3.7632165032321865,-3.70858509860287,-3.4283383459033505,-3.653099629560756,-3.804243811073813,-3.5104695472160974,-3.6696228745259765,-3.736931676193935,-3.694914922371828,-4.382409317300859,62
-3.628192463867725,-3.457875271616937,-4.761751670482579,-3.6273358426101794,-3.531589603750139,-3.6320436561686784,-5.103227053931134,-5.509123220166366,-3.8417158393417754,-3.3608615346067783,-3.4885759463813186,-4.112545302597494,-3.856237045812784,-3.782858473443154,-3.449844754945624,-3.7345239737115654,-3.910345183762024,-3.64056789448553,-3.788250883112577,-3.8424591901999654,-3.7272870622173486,-4.4062548495014235,63
-3.6620009196258096,-3.5185434671839646,-4.5379129958208395,-3.595251888874566,-3.5496301866213917,-3.6991437421761955,-4.879130044126722,-5.193438901068669,-3.9852281272369146,-3.404745185588506,-3.536485343359518,-4.34026073950454,-3.9691905618035084,-3.8730475714634993,-3.4759596802112416,-3.8333963916089764,-4.039182564883422,-3.798544459026983,-3.932299179253449,-3.970599742921573,-3.7665960891726233,-4.43521013860211,64
-3.6987924744213725,-3.5845647388304345,-4.294323849865416,-3.560336998044634,-3.569262585628343,-3.772164424007904,-4.6352597687513315,-4.849900083227056,-4.141403264063976,-3.452500923421562,-3.5886220400710878,-4.588068714962208,-4.092110564499296,-3.9711945310738734,-3.5043788635885313,-3.9409928463796877,-4.179387950221413,-3.9704601322044457,-4.089057619171455,-4.1100468150009695,-3.809373559682775,-4.4667203061528555,65
-3.7355840292169353,-3.650586010476906,-4.05073470390999,-3.525422107214701,-3.5888949846352944,-3.8451851058396134,-4.391389493375939,-4.506361265385442,-4.297578400891041,-3.5002566612546184,-3.640758736782658,-4.8358766904198784,-4.215030567195086,-4.069341490684249,-3.532798046965822,-4.0485893011504,-4.319593335559406,-4.14237580538191,-4.245816059089464,-4.249493887080368,-3.8521510301929274,-4.498230473703602,66
-3.76939248497502,-3.7112542060439324,-3.8268960292482506,-3.493338153479088,-3.606935567506547,-3.91228519184713,-4.1672924835715275,-4.190676946287744,-4.441090688786178,-3.5441403122363457,-3.6886681337608573,-5.063592127326925,-4.327984083185809,-4.159530588704594,-3.558912972231439,-4.1474617190478105,-4.448430716680804,-4.300352369923362,-4.389864355230334,-4.377634439801974,-3.891460057148202,-4.5271857628042875,67
-3.7972347426581483,-3.7612162494520724,-3.6425582971738746,-3.466916073932112,-3.621792518106402,-3.967544086206261,-3.9827420049090683,-3.9307016246778734,-4.559277278817469,-3.5802797895154153,-3.728122931272315,-5.2511224871327284,-4.421004625766407,-4.233803963544878,-3.580419381273713,-4.228886063198619,-4.5545320893690135,-4.430450717192794,-4.508492363816934,-4.483161953808005,-3.9238321969937227,-4.551031295004853,68
-3.8161277032288425,-3.7951190646218818,-3.5174719789805495,-3.4489868056680923,-3.6318740202991604,-4.005041193092814,-3.857511322959544,-3.7542897992997486,-4.639475322052988,-3.604803006240498,-3.754895829583662,-5.3783752312866655,-4.484125708231812,-4.28420375361507,-3.5950130159809697,-4.284138296729525,-4.626529449407442,-4.518731738554194,-4.588989941072127,-4.554769909740667,-3.9457990061746115,-4.567212191855235,69
-3.8230882676496245,-3.8076095754739168,-3.471387545961956,-3.4423812857813485,-3.635588257949124,-4.018855916682597,-3.81137370329393,-3.6892959688972815,-4.66902196956081,-3.6138378755602654,-3.7647595289615263,-5.425257821238116,-4.50738084387696,-4.302772097325141,-3.600389618241538,-4.304494382767227,-4.6530547925794945,-4.5512563253715514,-4.618646943218777,-4.581151788242175,-3.9538920411359912,-4.573173574905376,70
-3.8190587359406787,-3.8027799224353602,-3.4702203592965866,-3.4417115590765586,-3.633985394670321,-4.014479986395138,-3.8091607019961207,-3.687366930859198,-4.660322625401418,-3.6140810735939244,-3.7627000503045744,-5.411249157526742,-4.500563871839403,-4.297243591889888,-3.6002919849491453,-4.299173804959087,-4.6463204965936695,-4.557098576185731,-4.6247159620264116,-4.590621873487363,-3.968685513571911,-4.5870176291450795,71
-3.8075259382909374,-3.7889571223594927,-3.4668797905646676,-3.4397947550594012,-3.629397889424092,-4.001955772124133,-3.802826939661011,-3.681845890957098,-4.635424502462468,-3.614777123138535,-3.756805680355368,-5.371155395870048,-4.4810532277319135,-4.281420628057957,-3.600012551732989,-4.28394594433579,-4.627046477048031,-4.573819500929762,-4.642085912406883,-4.617725910568419,-4.0110254519229915,-4.626640267141473,72
-3.7893235709160438,-3.7671404138060147,-3.4616073266624814,-3.4367694378756943,-3.6221573690957056,-3.9821886387566447,-3.7928302786260786,-3.673131960509204,-4.596127465052798,-3.615875707359547,-3.7475025181463786,-5.307874880484182,-4.450259319562261,-4.25644703454009,-3.5995715185845967,-4.259911610099019,-4.5966260365603375,-4.600210358055884,-4.669501135296543,-4.660504571503579,-4.077851137754214,-4.6891772018104785,73
-3.765285330031643,-3.7383290353346275,-3.454644454486312,-3.432774171671258,-3.6125954605704322,-3.9560839511797328,-3.779628581228802,-3.661624250833741,-4.544231377481251,-3.6173265094224103,-3.73521666271008,-5.224305955585292,-4.409592555338216,-4.22346664004703,-3.5989890854954987,-4.22817161145046,-4.556452477748345,-4.635062406016334,-4.705705971631743,-4.71699852831108,-4.166101852630562,-4.771764146068019,74
