C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-3.2099694507687486,-3.5586711026390376,-2.8573121847164105,-3.2363020164252387,-2.9790596975478185,-3.148113288767351,-3.0924833008544153,-3.0669959992069953,-3.6310649712963134,-3.469452007982593,-3.489933927246944,-3.317837484998249,-3.4554569525343712,-3.6077549320417797,-3.8480564085313937,-3.749260949287543,-3.43140805567447,-3.8940688436673865,-3.7069982631610547,-3.9683580441991544,-3.337398034615116,-3.791270466506633,-4.2745024024051785,87
-3.216849075825442,-3.54765269712663,-2.870490057365575,-3.064483346642667,-2.996055207419369,-3.151417775865849,-3.09637536038277,-3.0688287038423536,-3.65431431727712,-3.484440740322614,-3.5049388013962948,-3.339105840453766,-3.471545322280518,-3.635628320623528,-3.8590303615404977,-3.761723741666503,-3.4308341139657577,-3.913985955400046,-3.727933761218368,-3.985079014682804,-3.3531768197095873,-3.8048813775987993,-4.313466201455674,88
-3.2227674083323796,-3.532396515171322,-2.8838143964141785,-2.947479095152113,-3.0086601823607086,-3.1567921097935026,-3.102655753544426,-3.0714867205388283,-3.6726785364178824,-3.494908038507725,-3.5183763637833865,-3.3545270073547213,-3.482805696612541,-3.6578984993635153,-3.8653349035389963,-3.7745509547728315,-3.431695723254257,-3.928644080184394,-3.7429567801584436,-3.9947873895488177,-3.366078891531225,-3.8145833555357416,-4.341444829933519,89
-3.2260846603737194,-3.5123027084280154,-2.8955349352000566,-2.9022512919255306,-3.0157607230954975,-3.164463739962518,-3.1101823175353607,-3.074744550322152,-3.6848794463351773,-3.499685201815138,-3.529714893911369,-3.362637425490532,-3.4880767282344536,-3.673029878030132,-3.8660997932504735,-3.787934211196332,-3.4339556564747116,-3.9364669596693584,-3.750528917222212,-3.9958690228311102,-3.375367888138762,-3.8194627115394573,-4.3555789495050385,90
-3.2293652109698407,-3.485597392207972,-2.907905985374382,-2.9430265198075833,-3.0152720786161566,-3.174605715909104,-3.1206265913227846,-3.077741452458615,-3.6899838385145323,-3.4958899870695546,-3.539153711505887,-3.360752399122014,-3.4850099933602836,-3.6803530837466583,-3.8524513005921603,-3.8000568363241483,-3.436068452040641,-3.928964206995662,-3.748219117744862,-3.9855783770072764,-3.379936641184355,-3.8168708920462033,-4.346167895753422,91
-3.2357342359336783,-3.4519171399679234,-2.9239950336522744,-3.0601181826299397,-3.007191208723568,-3.187078302799982,-3.1361016727963573,-3.0802330884398414,-3.6887987862529386,-3.483133133997219,-3.547354963596438,-3.348898196760595,-3.4735051722677355,-3.6810887066365856,-3.8203620479528806,-3.809710846759715,-3.4372141260272318,-3.903053578864819,-3.736272176440532,-3.9640640826037727,-3.379933691747184,-3.8062840075125695,-4.310787650422774,92
-3.244393142538227,-3.412777790580969,-2.943271575967489,-3.234618541845079,-2.993526780354085,-3.2016397734931217,-3.1561277375357286,-3.082918562629564,-3.682656529884168,-3.4639854162276547,-3.554481170641955,-3.329677704571612,-3.455773073756336,-3.6765361009686215,-3.7762313227635973,-3.81800090191727,-3.4384436678617227,-3.865271032266942,-3.7171634646185794,-3.934053245727805,-3.3765062420265144,-3.7899753651910526,-4.257493844420783,93
-3.2545433380564806,-3.369695182920212,-2.9652051082537807,-3.4476198589054654,-2.9762874604440617,-3.21804840084649,-3.1802249611205506,-3.0864969793915167,-3.6728893097419943,-3.4410176073903886,-3.56069485310137,-3.3056938087204,-3.434024506625615,-3.667994621011476,-3.72645841245528,-3.8260316612110494,-3.440808066971357,-3.822152524192146,-3.693368353588362,-3.89827297248658,-3.3708014942216136,-3.77021827233415,-4.194342108655146,94
-3.26538622976143,-3.3241851558587534,-2.989265126444903,-3.680214395263571,-2.9574819159298498,-3.2360624577180563,-3.2079135191304715,-3.0916674430894315,-3.660829366160189,-3.416800481114943,-3.5661585314336146,-3.279549395372294,-3.410470279675101,-3.656763621033855,-3.677442604458892,-3.8349077840552885,-3.4453583127833736,-3.7802340116305437,-3.6673622146592377,-3.859450368987304,-3.3639666505317463,-3.749286036194357,-4.129388074033551,95
-3.27612322492607,-3.2777635482696943,-3.0149211264746127,-3.913494412371873,-2.939118813747804,-3.255440216965789,-3.238713587145144,-3.0991290580870414,-3.6478089394725255,-3.3939048110308447,-3.571034726097621,-3.253847350692628,-3.387321201704322,-3.644142455304467,-3.635583186205399,-3.8457339298642257,-3.4531453947250155,-3.7460514515722485,-3.6416204191405637,-3.8203125413371826,-3.3571489131561782,-3.729451964024171,-4.070687371463693,96
-3.285955730823393,-3.2319461990261384,-3.041642604276661,-4.12855217168283,-2.923206820834277,-3.2759399514476577,-3.2721453407442147,-3.1095809287480796,-3.6351602700127756,-3.3749013707676188,-3.5754859575523206,-3.231190560846741,-3.3667880815128077,-3.63143047809202,-3.6072794451257693,-3.859614758052095,-3.4652203022235204,-3.726140801007375,-3.618618338341698,-3.783586595643424,-3.3514954842941767,-3.712989363076088,-4.026295631853264,97
-3.2940851547263925,-3.1882489470011848,-3.068899055784806,-4.3064799346489275,-2.9117546041256217,-3.297319934021631,-3.3077289555073386,-3.12372215943628,-3.624215598114713,-3.3623609339547897,-3.5796747462566474,-3.214181911999965,-3.3510817279000853,-3.6199270436652222,-3.5989306686509677,-3.8776549280331363,-3.482634024706133,-3.7270380169260364,-3.6008313435719987,-3.751999638013232,-3.3481535661450073,-3.7021715406026066,-4.0042684861099564,98
-3.2997129039080626,-3.148187631067937,-3.096159976932801,-4.428369962722629,-2.906770830558192,-3.319338437545676,-3.3449846070141627,-3.1422518545153744,-3.616307164112109,-3.358854274221883,-3.583763612669532,-3.2054242903176364,-3.3424129496656847,-3.610931506292781,-3.6169361442119596,-3.9009590992215832,-3.506437551600093,-3.7552790563183467,-3.5907348061408237,-3.728278774553815,-3.348270360907936,-3.699271803856221,-4.012661565141464,99
-3.302040385641395,-3.113278090099496,-3.1228948636543996,-4.475314517356406,-2.9102641670683407,-3.3417537348777624,-3.3834324708443395,-3.1658691183490957,-3.6127672083387368,-3.3669521651984224,-3.5879150772499067,-3.207520581965091,-3.342992555609133,-3.6057432202434043,-3.6676951592397113,-3.930631931031673,-3.5376818723326404,-3.8173998761744183,-3.59080409735753,-3.7151511113723776,-3.3529930707822286,-3.706563460089429,-4.059530499855476,100
-3.301165159506845,-3.082753106644775,-3.1503087946739226,-4.441004800883317,-2.922492660019058,-3.3663948387667815,-3.426141232497783,-3.198029483835413,-3.608801539212462,-3.3874796358954176,-3.5914038655975085,-3.220875894276341,-3.3506927950218874,-3.5995213062885436,-3.755714794345957,-3.9612655106140053,-3.5824542087006273,-3.92614681398232,-3.599661416339999,-3.7069785747943427,-3.3618389368080717,-3.7160040513805055,-4.160331249633537,101
-3.2979695955067463,-3.0546144677329155,-3.179621410536542,-4.341543950871017,-2.9415166064928235,-3.394528547405705,-3.475313312947403,-3.2399276943552526,-3.600365134397075,-3.418229048295774,-3.5936585077547805,-3.2430159975247506,-3.3620388935700594,-3.5882289085781234,-3.8768626851273273,-3.988709869215262,-3.6430464356296106,-4.081823138875308,-3.6139742664254983,-3.6978007916300624,-3.3733500683937367,-3.7207680417333115,-4.315296470968531,102
-3.2928323165469107,-3.0285315189573647,-3.210324049907292,-4.191642131623873,-2.9660480495052255,-3.4250698118186222,-3.529169490982337,-3.288871669996783,-3.5899139880952355,-3.457222175486858,-3.595072230844712,-3.272224772284678,-3.3772211246151627,-3.574371416448559,-4.024578951492126,-4.015956582393797,-3.714816522239887,-4.272300205311267,-3.6332859752524627,-3.6898614187141416,-3.387210970290619,-3.7249541212887194,-4.509646840435149,103
-3.28613194553315,-3.0041736059115682,-3.241908051451208,-4.006009507446252,-2.9947990320718527,-3.456933583029624,-3.5859305453917254,-3.342169330848174,-3.579904094509607,-3.5024807905560422,-3.5960382619902966,-3.306786099130486,-3.3964297615187116,-3.5604542192362696,-4.19230371334866,-4.045997225707973,-3.793122437651757,-4.485449367748093,-3.6571398704593294,-3.6854041128811854,-3.403106147250113,-3.732660980187605,-4.728603034608093,104
